Cement_kg_per_m3,Compressive_Strength_MPa
266.0,52.91
362.6,55.9
389.9,74.5
362.6,35.3
145.0,10.54
276.4,44.28
149.0,23.69
251.8,45.37
212.6,37.4
393.0,48.85
313.0,25.1
170.3,10.73
469.0,40.2
323.7,49.8
173.5,33.01
228.0,21.92
318.0,40.06
250.2,19.35
273.0,37.17
165.0,33.09
272.8,31.38
165.0,37.96
295.7,48.72
166.8,6.9
214.9,38.6
249.1,30.85
225.0,11.17
313.0,41.05
213.5,52.96
339.0,13.22
405.0,52.3
393.0,39.6
203.5,51.86
246.8,66.42
167.4,14.94
332.5,33.02
212.5,31.64
266.2,39.42
133.0,13.66
297.2,51.96
300.0,15.58
116.0,6.28
198.6,38.07
387.0,50.24
230.0,10.03
374.0,63.4
385.0,55.55
307.0,36.15
302.0,21.75
141.3,4.83
