Sand_Percent,Uniformity_Coefficient
13.1,5.5406375
15.1,44.0
35.0,146.2
46.2983,41.47092
0.12,1.538993
24.9919,19.12546
10.8,7.3
35.0,146.2
26.09656,219.8673
55.92552,16.02957
22.20948,24.05391
30.64094,183.0424
24.9919,19.12546
18.21,148.438
25.92971,371.9765
21.53,70.68691
52.3,63.8
22.99446,45.54821
38.3,95.9
29.43542,66.45729
35.8,289.0
31.84,22.26523
40.7,15.7
14.2,14.3
14.9,8.7
14.5,17.271655
28.40619,23.31848
43.23418,3.772133
27.01,44.35373
0.16,1.529153
10.5,10.2
20.07,15.15047
29.48119,21.43641
37.16835,92.34737
49.19,271.5
25.82442,347.802
32.0,181.0
