X,Y
8.6,20.333332
25.7,26.52
6.3,26.0
33.2,52.033348
13.0,30.0
8.0,28.191666
3.8,23.600002
8.5,22.4
6.7,32.4
18.9,32.30833
6.7,29.2
17.7,36.541668
8.8,20.8
31.7,46.899994
16.5,15.599999
9.8,24.400002
39.7,53.166664
10.5,26.249996
6.7,30.8
9.2,25.599998
32.3,39.708332
9.1,27.391665
13.3,44.666668
4.8,30.8
9.6,23.600002
10.1,21.199999
12.2,34.7
33.4,38.3
14.4,23.783333
14.3,24.666668
9.7,29.2
8.9,22.0
10.5,21.199999
13.6,18.4
21.3,35.033333
21.6,21.199999
22.5,21.0
12.9,23.433334
4.7,14.400001
23.7,29.920002
18.9,14.9
11.9,23.600002
9.0,22.0
38.1,62.21333
11.4,24.0
19.7,46.666664
10.3,22.8
8.0,22.8
26.1,29.133331
5.8,19.199999
3.6,12.799999
8.3,18.8
1.7,27.6
14.7,22.0
5.2,28.800001
4.9,29.2
20.2,16.3
26.2,26.550003
26.0,23.4
9.4,15.725001
41.9,53.966652
10.8,18.8
12.3,22.4
20.7,26.416666
11.0,25.599998
9.9,42.666668
11.8,17.6
8.2,38.0
8.7,29.033333
11.3,13.824999
6.7,36.0
11.7,24.400002
12.0,18.0
24.4,20.96
15.3,24.850002
22.0,19.066668
7.3,23.199999
9.3,20.8
12.6,22.4
11.0,27.2
10.8,22.8
6.8,30.0
9.5,17.2
24.0,24.84
11.6,17.6
7.0,18.4
12.4,31.125
9.8,19.199999
27.5,28.36
17.8,30.59167
7.5,10.8
14.0,22.0
18.5,33.458332
17.1,17.783333
12.3,25.2
41.3,29.2
10.9,21.199999
12.0,44.666668
7.1,19.7
9.7,20.8
10.8,27.31667
6.7,26.0
27.7,60.476665
8.6,18.0
11.5,26.0
8.0,26.399998
13.0,20.24
8.2,18.35
13.3,32.8
10.9,23.199999
11.4,27.2
10.6,15.2
7.8,20.0
6.9,22.4
7.4,28.566664
9.9,30.8
23.3,36.09167
13.0,22.4
9.3,27.008327
17.4,22.474998
10.5,25.2
6.0,21.199999
35.3,25.791664
9.9,29.333328
7.9,19.6
16.5,20.4
14.0,16.0
3.3,23.600002
12.2,20.0
8.5,25.741669
3.6,18.0
10.3,23.199999
6.5,28.4
10.1,36.399998
8.7,28.0
3.5,23.199999
9.7,21.6
4.5,34.0
25.9,32.758335
14.3,20.0
8.3,28.800001
7.3,52.0
10.9,26.041664
3.2,32.874996
10.4,16.4
7.4,16.8
4.0,27.2
24.1,32.96
17.8,27.366667
6.5,22.8
25.5,34.9
12.0,13.8
18.6,34.06667
11.1,27.324999
25.1,24.025002
30.5,61.45333
7.3,19.6
10.1,20.425
4.0,32.4
7.5,25.599998
36.4,62.26667
12.4,21.6
9.2,32.0
11.0,20.0
9.6,19.199999
9.2,33.50833
9.8,26.116669
33.0,20.52
9.4,23.199999
17.4,22.383331
13.3,24.266663
13.9,22.0
14.9,20.516666
7.1,26.0
20.9,62.356663
29.2,60.61
11.6,16.058332
25.8,29.44
11.4,23.199999
8.7,27.2
8.2,21.199999
8.2,27.6
5.4,24.0
11.2,27.333328
25.4,33.2
10.2,24.400002
14.3,24.8
29.9,26.716667
30.4,60.15333
9.1,15.2
5.6,24.0
16.2,24.950005
10.0,30.0
7.2,20.8
15.2,20.0
11.7,29.341667
13.7,17.625
25.3,29.341661
7.4,27.6
13.3,42.6
17.9,29.775002
14.5,17.233334
25.1,20.675
14.5,19.216665
4.8,25.2
13.8,38.3
5.9,20.8
26.3,18.0
6.5,24.0
22.2,27.416666
14.3,10.8
7.7,25.2
40.8,67.68333
10.7,24.116667
6.0,23.199999
16.9,22.76
7.5,24.400002
11.1,28.4
9.0,16.8
3.3,27.2
18.1,39.225002
6.7,26.0
11.6,23.199999
33.6,26.84
11.1,19.8
8.6,26.399998
9.7,14.400001
24.3,23.239998
10.0,28.0
6.0,27.2
14.5,20.0
20.6,32.8
14.0,23.85
11.5,18.866667
11.3,20.4
7.3,33.2
33.4,33.816666
4.1,27.6
7.6,29.2
15.1,28.808327
27.9,24.416672
12.2,24.8
9.7,27.2
8.1,23.600002
10.8,29.6
11.2,26.399998
23.0,26.58333
9.9,17.6
10.8,28.549994
6.1,27.6
